-159.508,751.063,-12.5664
563,-8.64929,15.5739,-1.1184
564,-6.03008,15.7611,-0.952086
566,-6.92984,15.8064,0.682716
567,-7.78104,15.7121,-0.80273
568,-6.90053,15.7716,-0.877261
571,-8.69162,15.6426,-0.718412
572,-6.04233,15.7799,-0.572088
573,-9.50681,19.5019,5.70971
574,-9.82666,23.266,4.5503
575,-7.78345,15.6908,-0.402806
576,-2.1855,3.54062,-1.77978
577,-8.64405,15.6712,-0.308022
578,-6.8329,15.7303,-0.486985
579,-3.41342,5.86173,-1.7994
580,-4.439,9.48335,-2.02349
581,-7.75577,15.7894,-0.00230231
582,-5.97468,15.7685,-0.181711
583,-5.98726,11.7546,-1.9952
584,-6.40484,14.6449,-1.98807
585,-8.67633,15.7399,0.0820227
586,-6.8752,15.839,-0.0868667
587,-7.6251,15.5254,-1.82244
588,-5.92683,15.6329,-1.51191
589,-7.70813,15.6781,0.377621
590,-5.96693,15.7273,0.188206
591,-7.6688,15.6033,-1.19243
592,-6.77785,15.6131,-1.34707
593,-8.62882,15.6285,0.481946
594,-6.82753,15.7077,0.28299
595,-8.5793,15.5638,-1.11801
596,-5.97997,15.8111,-0.961619
598,-6.85984,15.8064,0.683135
599,-7.72104,15.7121,-0.802371
600,-6.84054,15.7616,-0.876935
603,-8.6316,15.6725,-0.717953
604,-5.98232,15.7998,-0.571662
605,-9.46687,19.5718,5.73018
606,-9.76664,23.3659,4.561
607,-7.73342,15.7307,-0.402373
608,-2.17543,3.55065,-1.78969
609,-8.58405,15.6811,-0.30763
611,-3.38342,5.8617,-1.79923
612,-4.40901,9.47333,-2.02334
613,-7.68578,15.7694,-0.00195007
614,-5.91468,15.7685,-0.181352
615,-5.94723,11.7845,-1.99486
616,-6.35489,14.6548,-1.97774
617,-8.62631,15.7599,0.0823886
619,-7.56516,15.5253,-1.81208
620,-5.86682,15.6529,-1.51148
621,-7.65812,15.6981,0.377987
622,-5.91691,15.7472,0.188572
623,-7.59881,15.5933,-1.19204
624,-6.71784,15.623,-1.34667
625,-8.56879,15.6585,0.482405
627,-8.5093,15.5638,-1.11759
628,-5.91009,15.751,-0.951401
631,-7.66104,15.722,-0.801978
635,-8.57159,15.6825,-0.71756
636,-5.91234,15.7698,-0.571343
637,-9.41692,19.6616,5.75078
638,-9.70669,23.4458,4.58162
639,-7.65351,15.7006,-0.391995
640,-2.16542,3.56064,-1.78959
641,-8.48409,15.631,-0.307198
642,-6.73285,15.7902,-0.486186
643,-3.32367,5.78155,-1.76913
644,-4.36899,9.50329,-2.023
645,-7.62578,15.7793,-0.00155762
646,-5.85467,15.7784,-0.18096
647,-5.89723,11.7945,-1.99452
648,-6.29488,14.6648,-1.97735
649,-8.52637,15.6998,0.082787
651,-7.50515,15.5352,-1.81169
652,-5.80683,15.6428,-1.51116
653,-7.57814,15.678,0.378399
654,-5.84691,15.7472,0.188991
655,-7.5388,15.6032,-1.19165
656,-6.65785,15.613,-1.34635
657,-8.48875,15.6384,0.472817
659,-8.44928,15.5837,-1.11717
660,-24.8279,75.6391,-4.51532
663,-7.60109,15.7319,-0.791586
667,-8.5016,15.6724,-0.717175
668,-5.85234,15.7797,-0.570951
669,-9.39697,19.8115,5.7814
670,-9.64668,23.5357,4.59228
671,-7.5935,15.7106,-0.391602
672,-2.15535,3.58066,-1.79947
673,-8.45403,15.701,-0.306785
675,-3.30366,5.79153,-1.76898
676,-4.33898,9.51327,-2.02279
677,-7.56577,15.7893,-0.00116517
678,-5.7847,15.7484,-0.180641
679,-5.84723,11.7944,-1.99423
680,-6.24487,14.6747,-1.97701
681,-8.47633,15.7397,0.0832196
682,-6.64531,15.7188,-0.0858904
683,-7.45514,15.5452,-1.81136
