-156.489,751.847,-12.5651
621,-8.67898,15.6665,0.425879
623,-8.64387,15.5781,-1.17432
624,-7.71436,15.5972,-1.34708
625,-9.62869,15.6074,0.548656
626,-7.76922,15.7256,0.323221
627,-9.60369,15.5491,-1.10149
628,-6.84309,15.6658,-0.949614
630,-7.78798,15.7652,0.72332
631,-8.69257,15.6977,-0.784054
632,-7.77278,15.7268,-0.866773
635,-9.64238,15.6187,-0.691297
637,-11.4647,21.2535,6.41999
638,-11.7251,24.7053,4.97432
639,-8.7013,15.7073,-0.364016
640,-2.32938,3.44147,-1.7557
641,-9.59108,15.6582,-0.271408
642,-7.70158,15.7263,-0.466984
643,-3.65686,5.67299,-1.75944
644,-4.80358,9.09451,-1.96248
645,-8.67,15.7969,0.0359847
646,-6.83061,15.765,-0.159545
647,-6.38107,11.1563,-1.90565
648,-6.88796,13.8268,-1.88138
649,-9.62981,15.7279,0.128782
650,-7.74029,15.8059,-0.0667843
652,-6.76485,15.6163,-1.5199
653,-8.61897,15.6764,0.42571
654,-6.80954,15.7346,0.210363
655,-8.58387,15.578,-1.1745
656,-7.65436,15.5971,-1.34726
657,-9.56868,15.6174,0.548487
658,-7.69923,15.7155,0.323002
659,-9.53369,15.549,-1.1017
660,-6.79305,15.6757,-0.939753
662,-7.73792,15.8151,0.723222
663,-8.63252,15.7077,-0.774223
664,-7.72274,15.7567,-0.866891
667,-9.57237,15.6286,-0.691496
669,-11.4146,21.3434,6.43993
670,-11.655,24.7952,4.9842
671,-8.64129,15.7173,-0.364185
672,-2.31937,3.45145,-1.75572
673,-9.50112,15.6281,-0.271707
674,-7.66158,15.7562,-0.477073
675,-3.60686,5.64292,-1.74962
676,-4.78356,9.11448,-1.96252
677,-8.59004,15.7668,0.0357147
679,-6.35103,11.1962,-1.9057
680,-6.81795,13.8367,-1.88158
681,-9.5698,15.7378,0.128613
682,-7.67028,15.8158,-0.0669833
683,-8.47585,15.5186,-1.81489
684,-6.69486,15.6062,-1.52012
685,-8.54897,15.6763,0.425501
686,-6.7196,15.6845,0.210042
687,-8.50383,15.5879,-1.16473
688,-7.59435,15.6071,-1.34743
689,-9.48868,15.6173,0.548248
690,-7.62927,15.7054,0.312782
691,-9.45369,15.5489,-1.10193
